Name	TR19267|c0_g1|CYP703A2	TR19612|c1_g3|CYP707A1	TR60337|c4_g9|CYP707A1	TR19612|c0_g1|CYP707A3	TR35761|c0_g1|CYP707A4	TR58054|c0_g2|CYP707A4	TR14082|c7_g4|CYP707A4	TR60509|c0_g1|CYP707A7	TR26914|c0_g1|CYP710A1
T0_1	1.431	0.72	0.056	2.011	1.946	12.338	10.505	3.527	1.899
T0_2	0.77	0.161	0.09	0.689	1.575	10.016	8.709	3.348	1.54
T0_3	1.309	0.301	0.038	1.29	1.892	9.387	7.212	2.128	0.998
T4_1	1.247	2.457	7.643	0.11	1.019	0.782	4.395	3.257	0.255
T4_2	0.485	2.794	15.379	0.11	0.999	0.563	6.103	2.338	0.427
